Mailing list            Year        #
olpc                    2011        28
olpc                    2012        20
olpc                    2013        3
olpc                    2014        2
outreach                2014        1
outreach                2015        24
packaging               2005        52
packaging               2006        80
packaging               2007        110
packaging               2008        149
packaging               2009        170
packaging               2010        147
packaging               2011        115
packaging               2012        140
packaging               2013        132
packaging               2014        103
packaging               2015        102
panama-community        2013        10
panama-community        2014        4
panama-community        2015        1
php-devel               2007        7
php-devel               2008        12
php-devel               2009        4
php-devel               2010        6
php-devel               2011        3
php-devel               2012        7
php-devel               2013        4
php-devel               2014        6
php-devel               2015        5
power-management        2011        3
power-management        2012        3
power-management        2013        6
power-management        2014        3
power-management        2015        4
remixes                 2010        2
remixes                 2011        15
remixes                 2012        11
remixes                 2013        6
remixes                 2014        1
remixes                 2015        5
ru-users                2013        13
ru-users                2014        11
s390x                   2008        1
s390x                   2009        25
s390x                   2010        9
s390x                   2011        16
s390x                   2012        8
s390x                   2013        11
s390x                   2014        6
s390x                   2015        10
summit-planning         2010        8
summit-planning         2011        6
summit-planning         2012        5
summit-planning         2013        7
trans                   2003        14
trans                   2004        192
trans                   2005        93
trans                   2006        105
trans                   2007        160
trans                   2008        213
trans                   2009        252
trans                   2010        250
trans                   2011        188
trans                   2012        156
trans                   2013        163
trans                   2014        122
trans                   2015        99
trans-bg                2007        11
trans-bg                2008        4
trans-bg                2009        1
trans-bg                2010        10
trans-bg                2011        3
trans-ia                2012        2
trans-ia                2013        3
trans-ia                2015        1
trans-id                2008        18
trans-id                2009        8
trans-id                2010        9
trans-id                2011        9
trans-id                2012        16
trans-id                2013        10
trans-id                2015        5
trans-ko                2003        6
trans-ko                2004        38
trans-ko                2005        6
trans-ko                2006        2
trans-ko                2008        2
trans-ko                2010        8
trans-ko                2011        2
trans-ko                2012        3
trans-ru                2007        1
trans-ru                2010        1
vn-community            2010        1
vn-community            2011        2
vn-community            2012        3
vn-community            2013        2
vn-community            2014        1
voip                    2013        1
websites                2005        31
websites                2006        32
wiki                    2008        11
wiki                    2009        27
wiki                    2010        21
wiki                    2011        7
wiki                    2012        4
wiki                    2013        5
women                   2006        17
women                   2007        3
women                   2008        5
women                   2009        1
women                   2010        7
women                   2011        3
women                   2012        4
women                   2013        6
women                   2014        4
women                   2015        3
women-outreach          2012        6
women-outreach          2013        12
women-outreach          2014        2
women-outreach          2015        12
xen                     2005        9
xen                     2006        356
xen                     2007        358
xen                     2008        181
xen                     2009        86
xen                     2010        34
xen                     2011        43
xen                     2012        37
xen                     2013        16
xen                     2014        10
xen                     2015        9
xfce                    2010        23
xfce                    2011        69
xfce                    2012        65
xfce                    2013        44
xfce                    2014        43
xfce                    2015        38
zarafa                  2010        2
zarafa                  2011        3
zarafa                  2012        2
zarafa                  2013        2
zarafa                  2014        1
zarafa                  2015        1
zarafa-announce         2010        1
zarafa-announce         2011        1
zarafa-announce         2012        1
zarafa-announce         2013        1
zarafa-announce         2014        1
zarafa-announce         2015        1
